city,city_ascii
Kolkāta,Kolkata
Ōsaka,Osaka
Xi’an,Xi'an
Hyderābād,Hyderabad
Sūrat,Surat
Prayagraj,Prayagraj
Nangandao,Nangandao
Tai’an,Tai'an
Belāhi,Belahi
Ji’an,Ji'an
Lu’an,Lu'an
Jiangguanchi,Jiangguanchi
Yulinshi,Yulinshi
Nādampālaiyam,Nadampalaiyam
Baojishi,Baojishi
Kannankulam,Kannankulam
Guang’an,Guang'an
Kottārasshēri,Kottarassheri
Gāzipura,Gazipura
Huai’an,Huai'an
Attadappa,Attadappa
Chattogram,Chattogram
Barmhān Kalān,Barmhan Kalan
Mirzāpur,Mirzapur
Nāgpur,Nagpur
Ghāziābād,Ghaziabad
Eşfahān,Esfahan
Yan’an,Yan'an
Qinbaling,Qinbaling
Ma’anshan,Ma'anshan
Rājkot,Rajkot
Vishākhapatnam,Vishakhapatnam
Abhepur,Abhepur
Thāne,Thane
Bhopāl,Bhopal
Āgra,Agra
Peyanvilai,Peyanvilai
Masqaţ,Masqat
Ximeicun,Ximeicun
Bilāspur,Bilaspur
Ludhiāna,Ludhiana
Chengtangcun,Chengtangcun
Shīrāz,Shiraz
Tabrīz,Tabriz
Nāsik,Nasik
Vijayavāda,Vijayawada
Rui’an,Rui'an
Farīdābād,Faridabad
Kalyān,Kalyan
Pānīpat,Panipat
Vārānasi,Varanasi
Kalleli,Kalleli
Srīnagar,Srinagar
Aurangābād,Aurangabad
Xinhualu,Xinhualu
Dhanbād,Dhanbad
Alīgarh,Aligarh
Guwāhāti,Guwahati
Hāora,Haora
Rānchi,Ranchi
Xibeijie,Xibeijie
Chandīgarh,Chandigarh
Rangapukur,Rangapukur
Thủ Đức,Thu Duc
Āqchah,Aqchah
Nārāyanganj,Narayanganj
Gqeberha,Gqeberha
Fangchenggang,Fangchenggang
Solāpur,Solapur
Kermānshāh,Kermanshah
Çankaya,Cankaya
Setagaya,Setagaya
Xin’an,Xin'an
Sŏngnam,Songnam
Ashmūn,Ashmun
Osmangazi,Osmangazi
Morādābād,Moradabad
Tabūk,Tabuk
Tiruppūr,Tiruppur
Hai’an,Hai'an
Weichanglu,Weichanglu
Eskişehir,Eskisehir
Wu’an,Wu'an
Karīmnagar,Karimnagar
Zijinglu,Zijinglu
Khŭjand,Khujand
Patiāla,Patiala
Qingnian,Qingnian
Shīshgarh,Shishgarh
Nerima,Nerima
Bağcılar,Bagcilar
Bouaké,Bouake
Orūmīyeh,Orumiyeh
Suohe,Suohe
Qian’an,Qian'an
Chaohucun,Chaohucun
Durgāpur,Durgapur
Sagamihara,Sagamihara
Zaporizhzhia,Zaporizhzhia
Bhīlwāra,Bhilwara
Sahāranpur,Saharanpur
Dasmariñas,Dasmarinas
Edogawa,Edogawa
Ḩamāh,Hamah
Sinnūris,Sinnuris
Selçuklu,Selcuklu
Karbalā’,Karbala'
Taihecun,Taihecun
Xigazê,Xigaze
Bahār,Bahar
Wrocław,Wroclaw
Łódź,Lodz
Guntūr,Guntur
Ch’ŏnan,Ch'onan
Haldwāni,Haldwani
Yıldırım,Yildirim
Dhūlia,Dhulia
Dayrūţ,Dayrut
Honchō,Honcho
Bhāvnagar,Bhavnagar
Bhāngar,Bhangar
Ţūkh,Tukh
Bazal’tove,Bazal'tove
Tengyue,Tengyue
Ḩalwān,Halwan
Bihtā,Bihta
Kandahār,Kandahar
Ruiming,Ruiming
Yukarıkaraman,Yukarikaraman
Salīmpur,Salimpur
Tumkūr,Tumkur
Zāhedān,Zahedan
Fu’an,Fu'an
Jin’e,Jin'e
Āsansol,Asansol
Kolhāpur,Kolhapur
Hamadān,Hamadan
Nānded,Nanded
Amrāvati,Amravati
Poznań,Poznan
Ibagué,Ibague
Nilüfer,Nilufer
Nansana,Nansana
Ardabīl,Ardabil
Bīkaner,Bikaner
Maipú,Maipu
Arāk,Arak
Luanzhou,Luanzhou
Chānda,Chanda
Ulhāsnagar,Ulhasnagar
‘Ajmān,`Ajman
Kawachichō,Kawachicho
Akhmīm,Akhmim
Mālegaon,Malegaon
Jāmnagar,Jamnagar
Bārdoli,Bardoli
Mykolaiv,Mykolaiv
Ba‘qūbah,Ba`qubah
Jiangshandicun,Jiangshandicun
Ambattūr,Ambattur
Tân Uyên,Tan Uyen
Lanús,Lanus
Ta‘izz,Ta`izz
Pyeongtaek,Pyeongtaek
Kâğıthane,Kagithane
Erköklü,Erkoklu
Avcılar,Avcilar
Sirājganj,Sirajganj
Wāpi,Wapi
Eslāmshahr,Eslamshahr
Rājshāhi,Rajshahi
Sunch’ŏn,Sunch'on
Sāngli,Sangli
Jian’ou,Jian'ou
Chang’an,Chang'an
Mothīhāri,Mothihari
Sihŭng,Sihung
Thái Nguyên,Thai Nguyen
Awsīm,Awsim
Beylikdüzü,Beylikduzu
Việt Trì,Viet Tri
Altındağ,Altindag
Talā,Tala
Ţalkhā,Talkha
Shorāpur,Shorapur
Bhāgalpur,Bhagalpur
Manampizha,Manampizha
Shashemenē,Shashemene
Qazvīn,Qazvin
Etāwa,Etawa
Sonīpat,Sonipat
Öskemen,Oskemen
Yüreğir,Yuregir
Mulangodi,Mulangodi
Karūr,Karur
Jālna,Jalna
Tāngāil,Tangail
Asyūţ,Asyut
Zanjān,Zanjan
Kisenzi,Kisenzi
Bhātpāra,Bhatpara
Sirūr,Sirur
Kākināda,Kakinada
Minamisuita,Minamisuita
Pānihāti,Panihati
Tecámac,Tecamac
Caerdydd,Caerdydd
Dengtacun,Dengtacun
Sīkar,Sikar
Sasarām,Sasaram
Sultanbeyli,Sultanbeyli
Karnāl,Karnal
Vinnytsia,Vinnytsia
Sarıyer,Sariyer
Godē,Gode
Sawrān,Sawran
Karşıyaka,Karsiyaka
Shāhjānpur,Shahjanpur
Āvadi,Avadi
Tanch’ŏn,Tanch'on
Khānāpur,Khanapur
Kūstī,Kusti
Yong’an,Yong'an
Alamādi,Alamadi
Carapicuíba,Carapicuiba
Rājahmundry,Rajahmundry
Yeşilyurt,Yesilyurt
Sumqayıt,Sumqayit
Makiivka,Makiivka
Şalālah,Salalah
Wŏnju,Wonju
Dahūk,Dahuk
Kāmārhāti,Kamarhati
Guédiawaye,Guediawaye
Campīernagar,Campiernagar
Bijāpur,Bijapur
Ratnāgiri,Ratnagiri
Ulanhot,Ulanhot
Yunzhong,Yunzhong
Kōchi,Kochi
Rāmpur,Rampur
Nazrēt,Nazret
Mekele,Mekele
Ning’an,Ning'an
Kāshīpur,Kashipur
Thủ Dầu Một,Thu Dau Mot
Jūnāgadh,Junagadh
Kaech’ŏn,Kaech'on
Gwangmyeongni,Gwangmyeongni
Hāpur,Hapur
Pattikād,Pattikad
Trichūr,Trichur
N’Zérékoré,N'Zerekore
Barddhamān,Barddhaman
Attiecoubé,Attiecoube
Gorgān,Gorgan
Guarujá,Guaruja
Nizāmābād,Nizamabad
Ḩā’il,Ha'il
Shahrīār,Shahriar
Battalgazi,Battalgazi
Birania,Birania
Yonghetun,Yonghetun
Kāshān,Kashan
Kāraikkudi,Karaikkudi
Oulgaret,Oulgaret
Āwasa,Awasa
Ingrāj Bāzār,Ingraj Bazar
